trait,gene,gene_name,zscore,effect_size,pvalue,FDR_all,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,filename,tissue,Phenotype Description
MONORE,ENSG00000143384,MCL1,3.9083254383429074,0.4702444822697297,9.293806167981892e-5,0.1051129477598752,0.0013277301169029,0.01559924642084204,0.00453121918628898,0.0080492768603363,9,15,15,Lung_MONORE,Lung,Monocyte count
MCH,ENSG00000153094,BCL2L11,3.835596559855626,0.5128981918417203,1.2525988086335e-4,0.1298631814850781,6.0297574761662e-4,0.04105461605979382,0.02288282317790437,0.06922534742895439,2,12,12,Brain_Spinal_cord_cervical_c-1_MCH,Brain Spinal cord cervical c-1,Mean corpuscular haemoglobin
MONORE,ENSG00000153094,BCL2L11,3.804382171434679,0.6448825341612429,1.4215855946583e-4,0.13604574140879933,5.5452341610595e-4,0.02768133867097638,1.4447170922872e-4,2.9806194842848e-4,2,2,2,Skin_Not_Sun_Exposed_Suprapubic_MONORE,Skin Not Sun Exposed Suprapubic,Monocyte count
MCHC,ENSG00000141682,PMAIP1,-3.7227741146464863,-0.14662123774055433,1.9704579732953e-4,0.16915845914170718,0.00846961761107209,0.01058823510323225,0.04333600467614564,0.07047549100470468,5,13,13,Heart_Left_Ventricle_MCHC,Heart Left Ventricle,Mean corpuscular haemoglobin concentration
RDW,ENSG00000064012,CASP8,3.71406941767764,0.06148046247672045,2.0395280822487e-4,0.16915845914170718,0.04928879183317926,0.29479556462777956,1.8860922928577542e-39,3.2820627744264083e-38,8,10,10,Esophagus_Mucosa_RDW,Esophagus Mucosa,Red blood cell (erythrocyte) distribution width
MCH,ENSG00000153094,BCL2L11,3.6601541742349553,0.2408229179683613,2.5206353913387e-4,0.1878719650379895,0.00237847936989835,0.01852589630482361,0.00272174808756169,0.00448865419819913,6,17,17,Cells_Cultured_fibroblasts_MCH,Cells Cultured fibroblasts,Mean corpuscular haemoglobin
MCV,ENSG00000137752,CASP1,-3.6008965763126284,-0.13235297715481328,3.1712171576222e-4,0.1878719650379895,0.00923812017609132,0.02136985706196786,0.00108185028226374,0.00196058444656718,2,2,2,Esophagus_Mucosa_MCV,Esophagus Mucosa,Mean corpuscular volume
MCV,ENSG00000153094,BCL2L11,3.6504672653592816,0.22782700750363225,2.6176367023257e-4,0.1878719650379895,0.00237847936989835,0.01852589630482361,0.00272174808756169,0.00448865419819913,6,17,17,Cells_Cultured_fibroblasts_MCV,Cells Cultured fibroblasts,Mean corpuscular volume
MONORE,ENSG00000153094,BCL2L11,3.6023819244343516,0.28452375893321896,3.1531463708277e-4,0.1878719650379895,0.00259883166984551,0.022461827513308,0.00118918448603257,0.00217235319035472,2,4,4,Esophagus_Muscularis_MONORE,Esophagus Muscularis,Monocyte count
MONORE,ENSG00000143384,MCL1,3.606044729290628,0.43475399682231847,3.1089957019383e-4,0.1878719650379895,0.00129159089299052,0.02279519974950643,7.3336768827331e-4,0.00136119186622428,8,13,13,Esophagus_Mucosa_MONORE,Esophagus Mucosa,Monocyte count
WBCfixed,ENSG00000125538,IL1B,-3.6403290992076354,-0.04635148964607007,2.7228978962287e-4,0.1878719650379895,0.07592693073698396,0.246747166257435,1.817183924088386e-21,1.8985410516821143e-20,7,15,15,Testis_WBC_fixed,Testis,White blood cell (leukocyte) count
BASORE,ENSG00000171552,BCL2L1,3.2326881271996863,0.05613015568073271,0.00122631361059163,0.19229386577585397,0.05735136527547902,0.15880611485236498,1.0594871091770064e-13,6.54214767414893e-13,2,3,3,Testis_BASORE,Testis,Basophil percentage
BASORE,ENSG00000030110,BAK1,-3.374761864213196,-0.02310118213881352,7.3879590208817e-4,0.19229386577585397,0.421878796965758,0.5563199872423359,5.4644486215299356e-120,7.496786352849351e-118,20,26,26,Whole_Blood_BASORE,Whole Blood,Basophil percentage
BASORE,ENSG00000171552,BCL2L1,-3.3052365779876713,-0.48688666318651885,9.4896261726551e-4,0.19229386577585397,7.9493119321884e-4,0.03955345970202917,0.00832741726511082,0.02346296202826093,1,3,3,Brain_Frontal_Cortex_BA9_BASORE,Brain Frontal Cortex BA9,Basophil percentage
BASORE,ENSG00000030110,BAK1,-3.1578041854475463,-0.04157664738378165,0.00158962295586592,0.19229386577585397,0.11026686829636156,0.15853182408372743,5.904705280212151e-7,5.495570800139898e-6,4,4,4,Brain_Anterior_cingulate_cortex_BA24_BASORE,Brain Anterior cingulate cortex BA24,Basophil percentage
BASORE,ENSG00000129473,BCL2L2,-3.1822679653501784,-0.509842801245291,0.00146126551799829,0.19229386577585397,8.1700935675553e-4,0.0520233112177786,1.6709639501287657e-7,5.382429537566873e-7,4,19,19,Lung_BASORE,Lung,Basophil percentage
BASORE,ENSG00000141682,PMAIP1,-3.496214151382446,-0.6364534033858453,4.7190980277194e-4,0.19229386577585397,5.5657214618512e-4,0.11059151754397004,2.612506219075122e-9,1.4418027127891424e-8,1,2,2,Pancreas_BASORE,Pancreas,Basophil percentage
BASORE,ENSG00000030110,BAK1,-3.1570112990852808,-0.04234794477537197,0.00159395169785955,0.19229386577585397,0.1062596205145568,0.21065463950594865,3.0774157046324604e-10,3.632789185355098e-9,2,2,2,Brain_Putamen_basal_ganglia_BASORE,Brain Putamen basal ganglia,Basophil percentage
EOSIRE,ENSG00000141682,PMAIP1,3.224753607152293,0.37862135002543734,0.00126081129821319,0.19229386577585397,0.00203198160876333,0.01158889663167786,0.01635608705560184,0.02483105189393234,2,11,11,Esophagus_Mucosa_EOSIRE,Esophagus Mucosa,Eosinophil percentage
EOSIRE,ENSG00000168404,MLKL,-3.1802312448861505,-0.04235665936266041,0.0014715756992316,0.19229386577585397,0.16274725373051124,0.2835727232209757,1.0022124603561075e-36,1.1782836906929551e-35,5,14,14,Cells_Cultured_fibroblasts_EOSIRE,Cells Cultured fibroblasts,Eosinophil percentage
IRF,ENSG00000106144,CASP2,3.3052575833084497,0.29115579374566425,9.4889149427988e-4,0.19229386577585397,0.01844846688866516,0.03948661900992802,5.521348702375537e-6,1.483282271851476e-5,9,27,27,Lung_IRF,Lung,Immature reticulocyte fraction
LYMPRE,ENSG00000171552,BCL2L1,-3.181804265449958,-0.05062273753654166,0.00146360696563317,0.19229386577585397,0.05735136527547902,0.15880611485236498,1.0594871091770064e-13,6.54214767414893e-13,2,3,3,Testis_LYMPRE,Testis,Lymphocyte count
LYMPRE,ENSG00000171552,BCL2L1,3.1494965553283696,0.4257936355039375,0.00163552036664079,0.19229386577585397,7.9493119321884e-4,0.03955345970202917,0.00832741726511082,0.02346296202826093,1,3,3,Brain_Frontal_Cortex_BA9_LYMPRE,Brain Frontal Cortex BA9,Lymphocyte count
MCH,ENSG00000104081,BMF,3.2964591985269203,0.12708546784775163,9.7911835457818e-4,0.19229386577585397,0.00799030855498958,0.04170604436082272,0.00671102178048588,0.0159193106372303,3,10,10,Brain_Cerebellar_Hemisphere_MCH,Brain Cerebellar Hemisphere,Mean corpuscular haemoglobin
MCH,ENSG00000104081,BMF,3.150741971600634,0.09284388313589868,0.00162856294713271,0.19229386577585397,0.01362775706173388,0.05241845039790099,8.5467025630202e-4,0.00219400554604815,5,13,13,Brain_Cerebellum_MCH,Brain Cerebellum,Mean corpuscular haemoglobin
MCH,ENSG00000153094,BCL2L11,3.3608116901005127,0.28561034933789065,7.7713790146019e-4,0.19229386577585397,0.00143770164701511,0.02007655095909096,0.0427086682652115,0.08689490165986194,2,4,4,Brain_Cortex_MCH,Brain Cortex,Mean corpuscular haemoglobin
MCH,ENSG00000137752,CASP1,-3.304029325436612,-0.12763936696878497,9.5305862270159e-4,0.19229386577585397,0.00923812017609132,0.02136985706196786,0.00108185028226374,0.00196058444656718,2,2,2,Esophagus_Mucosa_MCH,Esophagus Mucosa,Mean corpuscular haemoglobin
MCH,ENSG00000153094,BCL2L11,3.1805407867986526,0.2984411555067598,0.00147000444435925,0.19229386577585397,0.00122121531124083,0.01807370151364322,0.00943095043120536,0.01718232027145836,5,11,11,Heart_Atrial_Appendage_MCH,Heart Atrial Appendage,Mean corpuscular haemoglobin
MCH,ENSG00000003400,CASP10,-3.34149671772104,-0.05584108497670409,8.3328001731008e-4,0.19229386577585397,0.03987296947901737,0.06912760819578168,3.2394285401868343e-6,1.2143424656705064e-5,7,13,13,Pancreas_MCH,Pancreas,Mean corpuscular haemoglobin
MCH,ENSG00000171552,BCL2L1,3.248887907501316,0.15957415414141485,0.00115857122756131,0.19229386577585397,0.00519896448076341,0.02219216756688762,6.7877044360633e-4,0.00128099933967022,2,6,6,Skin_Not_Sun_Exposed_Suprapubic_MCH,Skin Not Sun Exposed Suprapubic,Mean corpuscular haemoglobin
MCH,ENSG00000153094,BCL2L11,3.467666654010159,0.09608353328706858,5.2499809417204e-4,0.19229386577585397,0.01366464279270168,0.03570667994308921,2.8621551188736005e-6,6.481748192682362e-6,4,6,6,Skin_Sun_Exposed_Lower_leg_MCH,Skin Sun Exposed Lower leg,Mean corpuscular haemoglobin
MCH,ENSG00000153094,BCL2L11,3.1683439102830095,0.12090899274868626,0.00153310048202402,0.19229386577585397,0.00797193897774879,0.04057457974419484,2.6303297270563e-4,8.1790195000472e-4,13,28,28,Stomach_MCH,Stomach,Mean corpuscular haemoglobin
MCH,ENSG00000153094,BCL2L11,3.174236008599584,0.8671559348793506,0.00150231481549758,0.19229386577585397,1.4438683810715e-4,0.02182915194760413,3.8295776863243e-4,6.809130053213e-4,4,11,11,Thyroid_MCH,Thyroid,Mean corpuscular haemoglobin
MCHC,ENSG00000168404,MLKL,3.201145933100565,0.04517011200601513,0.00136882187184648,0.19229386577585397,0.06428781406872013,0.03558054361246014,1.640009377054219e-5,4.153074012076627e-5,6,15,15,Lung_MCHC,Lung,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.1473400514301675,0.04136783673583674,0.0016476322260802,0.19229386577585397,0.07413177865421045,0.11231033271077023,8.990551940952826e-14,5.379923228768885e-13,9,21,21,Adipose_Visceral_Omentum_MCHC,Adipose Visceral Omentum,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.238394345389896,0.073513997037262,0.00120204534103611,0.19229386577585397,0.02487905055876478,0.06917499090103041,1.5576447997583e-4,6.1077761165057e-4,3,4,4,Brain_Nucleus_accumbens_basal_ganglia_MCHC,Brain Nucleus accumbens basal ganglia,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.2680950164794926,0.5132466780495843,0.00108274009536933,0.19229386577585397,5.1956989982128e-4,0.07071605345306747,0.02296844131938685,0.1149967275861084,1,1,1,Kidney_Cortex_MCHC,Kidney Cortex,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.268095016479492,0.08321399485963948,0.00108274009536933,0.19229386577585397,0.01976530562063844,0.0938803805546736,2.1972920481736e-4,0.00166644323382192,1,1,1,Vagina_MCHC,Vagina,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.214119344206811,0.02853576226219039,0.00130845276740568,0.19229386577585397,0.1650566645884887,0.30976144686723917,8.335040450512863e-49,1.5268172320106912e-47,23,44,44,Artery_Tibial_MCHC,Artery Tibial,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.222524030650784,0.08402303339382872,0.00127066506613393,0.19229386577585397,0.0189235037917269,0.04192900002099271,0.00739387529064647,0.02433157908434614,2,3,3,Brain_Hypothalamus_MCHC,Brain Hypothalamus,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.376230559007111,0.05769762791981992,7.3486310211208e-4,0.19229386577585397,0.04390809113672003,0.19135839601772983,1.4080321806646393e-25,1.3316470714061596e-24,6,10,10,Skin_Not_Sun_Exposed_Suprapubic_MCHC,Skin Not Sun Exposed Suprapubic,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.268095016479492,0.08033040745098928,0.00108274009536933,0.19229386577585397,0.02120978850035654,0.1064201290235112,5.522610934097994e-5,3.6352282278712e-4,1,1,1,Cells_EBV-transformed_lymphocytes_MCHC,Cells EBV-transformed lymphocytes,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.2792302172689194,0.03757402555816556,0.00104090682375167,0.19229386577585397,0.09764578581003032,0.19958764828464792,1.6509876624660834e-29,1.2601319699651774e-28,5,15,15,Thyroid_MCHC,Thyroid,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.307496785068371,0.02864234156381789,9.4133792348475e-4,0.19229386577585397,0.17041016523708233,0.21275013624327385,8.658875152568833e-19,9.621605350453135e-18,11,17,17,Esophagus_Gastroesophageal_Junction_MCHC,Esophagus Gastroesophageal Junction,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.2680950164794917,0.09683142166259308,0.00108274009536933,0.19229386577585397,0.01459700178570241,0.02689873939152073,0.00407890700554436,0.00910549162522754,1,1,1,Pancreas_MCHC,Pancreas,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.195486597250567,0.04161761886136651,0.00139595266390069,0.19229386577585397,0.0753599118752947,0.04764242962016745,7.840289068926358e-5,2.0544919843358e-4,6,13,13,Testis_MCHC,Testis,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.2680950164794917,0.10842193819448467,0.00108274009536933,0.19229386577585397,0.011642920825051,0.0643057983975229,0.00101442444149145,0.00436328525299896,1,1,1,Brain_Hippocampus_MCHC,Brain Hippocampus,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.191877250168248,0.04034559487803196,0.00141351389506119,0.19229386577585397,0.08013040238767444,0.0973248456903188,3.6944567425127656e-10,1.998857540493064e-9,4,9,9,Heart_Left_Ventricle_MCHC,Heart Left Ventricle,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.146240124871845,0.04081590172733477,0.00165384162350425,0.19229386577585397,0.07610205531180554,0.24038816865343784,1.81521854939125e-36,2.3697210203351455e-35,10,21,21,Adipose_Subcutaneous_MCHC,Adipose Subcutaneous,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.2680950164794917,0.05144616297459528,0.00108274009536933,0.19229386577585397,0.0517118766782369,0.04922923660998199,0.00111468925421286,0.00365742346360665,1,1,1,Artery_Coronary_MCHC,Artery Coronary,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.268095016479492,0.13311266217656778,0.00108274009536933,0.19229386577585397,0.00772427165534546,0.02973564487181474,0.02249265300210155,0.05602085618190843,1,1,1,Brain_Frontal_Cortex_BA9_MCHC,Brain Frontal Cortex BA9,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.2680950164794926,0.08818167479878936,0.00108274009536933,0.19229386577585397,0.01760109113092394,0.04484231955666786,0.0108361954628348,0.03523225618101339,1,1,1,Minor_Salivary_Gland_MCHC,Minor Salivary Gland,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.3638584031805223,0.0431193740721912,7.6860966358906e-4,0.19229386577585397,0.07835340720579657,0.17528781101573057,8.622988617881119e-11,1.0543980094533875e-9,6,14,14,Prostate_MCHC,Prostate,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.222984165764586,0.04099207725881909,0.0012686256635511,0.19229386577585397,0.07909619255887583,0.14982028769325068,8.30291828750141e-13,6.1726077786763455e-12,6,15,15,Colon_Sigmoid_MCHC,Colon Sigmoid,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,-3.4285668926894566,-0.06353693199437699,6.0677698515168e-4,0.19229386577585397,0.03685635030043463,0.02842682454845728,0.0294002739404798,0.07535443511256905,3,3,3,Ovary_MCHC,Ovary,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.268095016479492,0.06013038896010544,0.00108274009536933,0.19229386577585397,0.03785369261249888,0.2176583663982996,8.673547004586317e-11,1.4948131409427792e-9,1,2,2,Small_Intestine_Terminal_Ileum_MCHC,Small Intestine Terminal Ileum,Mean corpuscular haemoglobin concentration
MCHC,ENSG00000168404,MLKL,3.2680950164794917,0.06545997023385172,0.00108274009536933,0.19229386577585397,0.03194071770368299,0.111638050220994,1.089295822096e-4,8.6018804478352e-4,1,3,3,Uterus_MCHC,Uterus,Mean corpuscular haemoglobin concentration
MCV,ENSG00000176171,BNIP3,3.4210063192920117,0.38126274792738446,6.2389882556454e-4,0.19229386577585397,8.8030682263632e-4,0.14470335427312475,2.8868452735230337e-22,1.8539430220356792e-21,2,8,8,Skin_Sun_Exposed_Lower_leg_MCV,Skin Sun Exposed Lower leg,Mean corpuscular volume
MCV,ENSG00000137752,CASP1,-3.487178598752314,-0.11687753349645834,4.881452556046e-4,0.19229386577585397,0.01017981807246592,0.03163328205620867,4.3872843988343e-4,9.2722820446871e-4,7,15,15,Artery_Aorta_MCV,Artery Aorta,Mean corpuscular volume
MCV,ENSG00000153094,BCL2L11,3.148275734537207,0.2570528157706922,0.00164236692375793,0.19229386577585397,0.00139833142440724,0.0190151432939997,0.00206194588681769,0.00358464665975796,2,5,5,Esophagus_Mucosa_MCV,Esophagus Mucosa,Mean corpuscular volume
MCV,ENSG00000104518,GSDMD,3.1772496544723907,0.07426248839952618,0.00148678989203928,0.19229386577585397,0.01971718850346305,0.30682465172686874,6.245578042998732e-28,1.2434712748084311e-26,10,22,22,Esophagus_Gastroesophageal_Junction_MCV,Esophagus Gastroesophageal Junction,Mean corpuscular volume
MCV,ENSG00000171552,BCL2L1,3.1583431064456575,0.14613679363414303,0.00158668691165669,0.19229386577585397,0.00519896448076341,0.02219216756688762,6.7877044360633e-4,0.00128099933967022,2,6,6,Skin_Not_Sun_Exposed_Suprapubic_MCV,Skin Not Sun Exposed Suprapubic,Mean corpuscular volume
MCV,ENSG00000153094,BCL2L11,3.4235811479219698,0.08999721587616961,6.1801796758401e-4,0.19229386577585397,0.01366464279270168,0.03570667994308921,2.8621551188736005e-6,6.481748192682362e-6,4,6,6,Skin_Sun_Exposed_Lower_leg_MCV,Skin Sun Exposed Lower leg,Mean corpuscular volume
MCV,ENSG00000137752,CASP1,-3.2818136050671516,-0.10503840088961489,0.00103141760511561,0.19229386577585397,0.0123300676871537,0.0354276091568661,5.8814725069754e-4,0.00139128950480134,5,7,7,Esophagus_Gastroesophageal_Junction_MCV,Esophagus Gastroesophageal Junction,Mean corpuscular volume
MCV,ENSG00000171791,BCL2,3.148933608164328,0.10168064487813527,0.00163867419392485,0.19229386577585397,0.01120585541935723,0.0966407119485729,8.889097910101784e-10,4.351916878436936e-9,4,11,11,Heart_Atrial_Appendage_MCV,Heart Atrial Appendage,Mean corpuscular volume
MCV,ENSG00000104518,GSDMD,3.300126294710096,0.07024818398312503,9.6641327273598e-4,0.19229386577585397,0.02376355980575045,0.29726818989984866,5.0671828094489663e-26,1.0485617283379092e-24,9,20,20,Colon_Sigmoid_MCV,Colon Sigmoid,Mean corpuscular volume
MCV,ENSG00000153094,BCL2L11,3.322755806171147,0.26793637163450545,8.9132904594273e-4,0.19229386577585397,0.00143770164701511,0.02007655095909096,0.0427086682652115,0.08689490165986194,2,4,4,Brain_Cortex_MCV,Brain Cortex,Mean corpuscular volume
MCV,ENSG00000153094,BCL2L11,3.445815329036841,0.30821920991572815,5.6933928945691e-4,0.19229386577585397,0.00122121531124083,0.01807370151364322,0.00943095043120536,0.01718232027145836,5,11,11,Heart_Atrial_Appendage_MCV,Heart Atrial Appendage,Mean corpuscular volume
MCV,ENSG00000137752,CASP1,-3.198876140371937,-0.09496935252407857,0.00137964428321333,0.19229386577585397,0.01432125689433603,0.01288988250766745,0.01430314974626603,0.02241614968812029,5,8,8,Esophagus_Muscularis_MCV,Esophagus Muscularis,Mean corpuscular volume
MCV,ENSG00000196954,CASP4,-3.5158403901970834,-0.08642714620178034,4.3836443026854e-4,0.19229386577585397,0.02022402039947145,0.03182589160595804,0.0017604474719372,0.00421023339778173,5,11,11,Pancreas_MCV,Pancreas,Mean corpuscular volume
MCV,ENSG00000153094,BCL2L11,3.334631877339847,0.22278403951654455,8.541238894489e-4,0.19229386577585397,0.00218320877344842,0.04569846828110863,9.2649186699358e-4,0.00288802949949346,4,11,11,Pituitary_MCV,Pituitary,Mean corpuscular volume
MCV,ENSG00000104518,GSDMD,3.4425479604882754,0.08850569797408002,5.7626167258365e-4,0.19229386577585397,0.0162446473673423,0.4017754955576962,6.076895454607533e-67,1.9039642686739954e-65,9,20,20,Artery_Tibial_MCV,Artery Tibial,Mean corpuscular volume
MCV,ENSG00000153094,BCL2L11,3.1588846186538335,0.12701161626341104,0.00158374177976226,0.19229386577585397,0.00607958433818742,0.05976039204578964,0.00155393348852067,0.0063775124899283,6,13,13,Brain_Hippocampus_MCV,Brain Hippocampus,Mean corpuscular volume
MCV,ENSG00000153094,BCL2L11,3.3992664951946368,0.4287126199740192,6.7566846452709e-4,0.19229386577585397,6.0297574761662e-4,0.04105461605979382,0.02288282317790437,0.06922534742895439,2,12,12,Brain_Spinal_cord_cervical_c-1_MCV,Brain Spinal cord cervical c-1,Mean corpuscular volume
MCV,ENSG00000137757,CASP5,3.575834349432713,0.1274393846790933,3.4911266986886e-4,0.19229386577585397,0.00974726188777664,0.02204765140456087,1.1448066607124e-4,2.4397029233948e-4,3,7,7,Whole_Blood_MCV,Whole Blood,Mean corpuscular volume
MCV,ENSG00000171791,BCL2,3.190028892515123,0.1411804003398481,0.00142258570658715,0.19229386577585397,0.00599110606020569,0.0842095791140101,6.312236484429773e-9,3.0057563931982384e-8,3,7,7,Heart_Left_Ventricle_MCV,Heart Left Ventricle,Mean corpuscular volume
MONORE,ENSG00000120868,APAF1,-3.3747064129334863,-0.1548821401084839,7.389447691145e-4,0.19229386577585397,0.00777564176003507,0.11002137714932464,9.29045713940409e-7,3.756809589929325e-6,3,5,5,Brain_Cerebellum_MONORE,Brain Cerebellum,Monocyte count
MONORE,ENSG00000120868,APAF1,-3.4139503759950403,-0.5280802354379857,6.4028236656862e-4,0.19229386577585397,6.5653557167297e-4,0.03951546381491196,0.00935764628693634,0.02572149783850311,2,3,3,Brain_Putamen_basal_ganglia_MONORE,Brain Putamen basal ganglia,Monocyte count
MONORE,ENSG00000120868,APAF1,-3.2161987742465876,-0.19034693835938624,0.00129900823911104,0.19229386577585397,0.00475289146329522,0.10448261941982642,1.282356436576817e-5,5.15226291087658e-5,2,5,5,Brain_Cerebellar_Hemisphere_MONORE,Brain Cerebellar Hemisphere,Monocyte count
MONORE,ENSG00000143384,MCL1,3.4625608269067794,0.36124604677072425,5.3506095722655e-4,0.19229386577585397,0.00175375777417104,0.02148732673658628,0.00145628372039724,0.00288128119131004,11,16,16,Adipose_Visceral_Omentum_MONORE,Adipose Visceral Omentum,Monocyte count
MONORE,ENSG00000002330,BAD,3.253216178374964,0.08731568817136426,0.00114106652033834,0.19229386577585397,0.02405847545711319,0.03640960391012589,2.1394738366856e-4,5.2805183906083e-4,4,4,4,Heart_Atrial_Appendage_MONORE,Heart Atrial Appendage,Monocyte count
MONORE,ENSG00000153094,BCL2L11,3.22713920072185,1.0698874461051784,0.00125034616562087,0.19229386577585397,1.4438683810715e-4,0.02182915194760413,3.8295776863243e-4,6.809130053213e-4,4,11,11,Thyroid_MONORE,Thyroid,Monocyte count
MONORE,ENSG00000002330,BAD,3.249856674444016,2.1425689319420735,0.00115463184914614,0.19229386577585397,3.777488211695249e-5,0.02452554176463363,0.02493521479680982,0.0538484709585499,2,3,3,Brain_Cortex_MONORE,Brain Cortex,Monocyte count
MONORE,ENSG00000153094,BCL2L11,3.5027653277606934,0.4080953197727064,4.6045493867027e-4,0.19229386577585397,0.00122121531124083,0.01807370151364322,0.00943095043120536,0.01718232027145836,5,11,11,Heart_Atrial_Appendage_MONORE,Heart Atrial Appendage,Monocyte count
MONORE,ENSG00000120868,APAF1,-3.4177445323700653,-0.16440492976881413,6.3142344093343e-4,0.19229386577585397,0.00702934963326089,0.1259460780300321,1.92614257444611e-8,1.327371291574242e-7,3,5,5,Pituitary_MONORE,Pituitary,Monocyte count
MONORE,ENSG00000120868,APAF1,-3.2115615778989755,-0.13015199499421867,0.00132015674670504,0.19229386577585397,0.0102368607545058,0.02967821598086672,0.01422101174334789,0.03463879161588264,3,6,6,Brain_Nucleus_accumbens_basal_ganglia_MONORE,Brain Nucleus accumbens basal ganglia,Monocyte count
MONORE,ENSG00000120868,APAF1,-3.3811521811152603,-0.1893945470475649,7.2182553556963e-4,0.19229386577585397,0.00521327378046016,0.04470088130197453,0.00234136667809801,0.00649197491203958,2,4,4,Brain_Cortex_MONORE,Brain Cortex,Monocyte count
